"시도(1)","시군구(1)","시점","항목","레벨01(1)",데이터
"제주","계","2020. 01","관용","화물",1035
"제주","계","2020. 01","관용","특수",79
"제주","계","2020. 01","자가용","승용",279574
"제주","계","2020. 01","자가용","승합",11544
"제주","계","2020. 01","자가용","화물",75288
"제주","계","2020. 01","자가용","특수",635
"제주","계","2020. 01","영업용","승용",218430
"제주","계","2020. 01","영업용","승합",7752
"제주","계","2020. 01","영업용","화물",3646
"제주","계","2020. 01","영업용","특수",643
"서울","계","2020. 02","관용","승용",4586
"서울","계","2020. 02","관용","승합",3485
"서울","계","2020. 02","관용","화물",3987
"서울","계","2020. 02","관용","특수",351
"서울","계","2020. 02","자가용","승용",2540857
"서울","계","2020. 02","자가용","승합",92398
"서울","계","2020. 02","자가용","화물",268992
"서울","계","2020. 02","자가용","특수",3015
"서울","계","2020. 02","영업용","승용",126079
"서울","계","2020. 02","영업용","승합",17481
"서울","계","2020. 02","영업용","화물",57773
"서울","계","2020. 02","영업용","특수",4980
"부산","계","2020. 02","관용","승용",1657
"부산","계","2020. 02","관용","승합",1231
"부산","계","2020. 02","관용","화물",1614
"부산","계","2020. 02","관용","특수",131
"부산","계","2020. 02","자가용","승용",1079563
"부산","계","2020. 02","자가용","승합",36081
"부산","계","2020. 02","자가용","화물",152924
"부산","계","2020. 02","자가용","특수",1599
"부산","계","2020. 02","영업용","승용",75165
"부산","계","2020. 02","영업용","승합",6223
"부산","계","2020. 02","영업용","화물",33617
"부산","계","2020. 02","영업용","특수",8833
"대구","계","2020. 02","관용","승용",966
"대구","계","2020. 02","관용","승합",871
"대구","계","2020. 02","관용","화물",1330
"대구","계","2020. 02","관용","특수",119
"대구","계","2020. 02","자가용","승용",968892
"대구","계","2020. 02","자가용","승합",26538
"대구","계","2020. 02","자가용","화물",140054
"대구","계","2020. 02","자가용","특수",979
"대구","계","2020. 02","영업용","승용",26756
"대구","계","2020. 02","영업용","승합",4110
"대구","계","2020. 02","영업용","화물",19123
"대구","계","2020. 02","영업용","특수",1959
"광주","계","2020. 02","관용","승용",791
"광주","계","2020. 02","관용","승합",598
"광주","계","2020. 02","관용","화물",709
"광주","계","2020. 02","관용","특수",79
"광주","계","2020. 02","자가용","승용",546373
"광주","계","2020. 02","자가용","승합",17272
"광주","계","2020. 02","자가용","화물",79202
"광주","계","2020. 02","자가용","특수",872
"광주","계","2020. 02","영업용","승용",15285
"광주","계","2020. 02","영업용","승합",2520
"광주","계","2020. 02","영업용","화물",12918
"광주","계","2020. 02","영업용","특수",1823
"대전","계","2020. 02","관용","승용",652
"대전","계","2020. 02","관용","승합",529
"대전","계","2020. 02","관용","화물",625
"대전","계","2020. 02","관용","특수",74
"대전","계","2020. 02","자가용","승용",550182
"대전","계","2020. 02","자가용","승합",18310
"대전","계","2020. 02","자가용","화물",74860
"대전","계","2020. 02","자가용","특수",829
"대전","계","2020. 02","영업용","승용",14383
"대전","계","2020. 02","영업용","승합",2165
"대전","계","2020. 02","영업용","화물",11451
"대전","계","2020. 02","영업용","특수",1625
"울산","계","2020. 02","관용","승용",690
"울산","계","2020. 02","관용","승합",431
"울산","계","2020. 02","관용","화물",645
"울산","계","2020. 02","관용","특수",42
"울산","계","2020. 02","자가용","승용",468688
"울산","계","2020. 02","자가용","승합",12592
"울산","계","2020. 02","자가용","화물",61621
"울산","계","2020. 02","자가용","특수",604
"울산","계","2020. 02","영업용","승용",7947
"울산","계","2020. 02","영업용","승합",1986
"울산","계","2020. 02","영업용","화물",9301
"울산","계","2020. 02","영업용","특수",2132
"경기","계","2020. 02","관용","승용",7137
"경기","계","2020. 02","관용","승합",4114
"경기","계","2020. 02","관용","화물",5610
"경기","계","2020. 02","관용","특수",491
"경기","계","2020. 02","자가용","승용",4673696
"경기","계","2020. 02","자가용","승합",172372
"경기","계","2020. 02","자가용","화물",680790
"경기","계","2020. 02","자가용","특수",6733
"경기","계","2020. 02","영업용","승용",71765
"경기","계","2020. 02","영업용","승합",32528
"경기","계","2020. 02","영업용","화물",113881
"경기","계","2020. 02","영업용","특수",11096
"세종","계","2020. 02","관용","승용",333
"세종","계","2020. 02","관용","승합",168
"세종","계","2020. 02","관용","화물",219
"세종","계","2020. 02","관용","특수",41
"세종","계","2020. 02","자가용","승용",143307
"세종","계","2020. 02","자가용","승합",3874
"세종","계","2020. 02","자가용","화물",14572
"세종","계","2020. 02","자가용","특수",177
"세종","계","2020. 02","영업용","승용",612
"세종","계","2020. 02","영업용","승합",429
"세종","계","2020. 02","영업용","화물",1594
"세종","계","2020. 02","영업용","특수",160
"강원","계","2020. 02","관용","승용",1777
"강원","계","2020. 02","관용","승합",1518
"강원","계","2020. 02","관용","화물",2424
"강원","계","2020. 02","관용","특수",169
"강원","계","2020. 02","자가용","승용",583136
"강원","계","2020. 02","자가용","승합",24436
"강원","계","2020. 02","자가용","화물",145619
"강원","계","2020. 02","자가용","특수",1419
"강원","계","2020. 02","영업용","승용",11955
"강원","계","2020. 02","영업용","승합",3278
"강원","계","2020. 02","영업용","화물",8434
"강원","계","2020. 02","영업용","특수",1641
"충북","계","2020. 02","관용","승용",1331
"충북","계","2020. 02","관용","승합",962
"충북","계","2020. 02","관용","화물",1542
"충북","계","2020. 02","관용","특수",121
"충북","계","2020. 02","자가용","승용",631856
"충북","계","2020. 02","자가용","승합",25370
"충북","계","2020. 02","자가용","화물",142710
"충북","계","2020. 02","자가용","특수",1319
"충북","계","2020. 02","영업용","승용",14873
"충북","계","2020. 02","영업용","승합",3867
"충북","계","2020. 02","영업용","화물",14058
"충북","계","2020. 02","영업용","특수",2697
"충남","계","2020. 02","관용","승용",1897
"충남","계","2020. 02","관용","승합",1160
"충남","계","2020. 02","관용","화물",2336
"충남","계","2020. 02","관용","특수",258
"충남","계","2020. 02","자가용","승용",837285
"충남","계","2020. 02","자가용","승합",35838
"충남","계","2020. 02","자가용","화물",203611
"충남","계","2020. 02","자가용","특수",1722
"충남","계","2020. 02","영업용","승용",13353
"충남","계","2020. 02","영업용","승합",5428
"충남","계","2020. 02","영업용","화물",17413
"충남","계","2020. 02","영업용","특수",2919
"전북","계","2020. 02","관용","승용",1764
"전북","계","2020. 02","관용","승합",1252
"전북","계","2020. 02","관용","화물",2023
"전북","계","2020. 02","관용","특수",155
"전북","계","2020. 02","자가용","승용",686826
"전북","계","2020. 02","자가용","승합",27740
"전북","계","2020. 02","자가용","화물",170137
"전북","계","2020. 02","자가용","특수",1592
"전북","계","2020. 02","영업용","승용",19093
"전북","계","2020. 02","영업용","승합",4241
"전북","계","2020. 02","영업용","화물",15232
"전북","계","2020. 02","영업용","특수",2156
"전남","계","2020. 02","관용","승용",2097
"전남","계","2020. 02","관용","승합",1534
"전남","계","2020. 02","관용","화물",2452
"전남","계","2020. 02","관용","특수",177
"전남","계","2020. 02","자가용","승용",666452
"전남","계","2020. 02","자가용","승합",30506
"전남","계","2020. 02","자가용","화물",220627
"전남","계","2020. 02","자가용","특수",2169
"전남","계","2020. 02","영업용","승용",103033
"전남","계","2020. 02","영업용","승합",7838
"전남","계","2020. 02","영업용","화물",20054
"전남","계","2020. 02","영업용","특수",4722
"경북","계","2020. 02","관용","승용",2632
"경북","계","2020. 02","관용","승합",1716
"경북","계","2020. 02","관용","화물",2916
"경북","계","2020. 02","관용","특수",249
"경북","계","2020. 02","자가용","승용",1058825
"경북","계","2020. 02","자가용","승합",41882
"경북","계","2020. 02","자가용","화물",291802
"경북","계","2020. 02","자가용","특수",2804
"경북","계","2020. 02","영업용","승용",14315
"경북","계","2020. 02","영업용","승합",5412
"경북","계","2020. 02","영업용","화물",23779
"경북","계","2020. 02","영업용","특수",4966
"경남","계","2020. 02","관용","승용",2421
"경남","계","2020. 02","관용","승합",1899
"경남","계","2020. 02","관용","화물",2543
"경남","계","2020. 02","관용","특수",191
"경남","계","2020. 02","자가용","승용",1320929
"경남","계","2020. 02","자가용","승합",45701
"경남","계","2020. 02","자가용","화물",266126
"경남","계","2020. 02","자가용","특수",2396
"경남","계","2020. 02","영업용","승용",50070
"경남","계","2020. 02","영업용","승합",7521
"경남","계","2020. 02","영업용","화물",24741
"경남","계","2020. 02","영업용","특수",5406
"제주","계","2020. 02","관용","승용",852
"제주","계","2020. 02","관용","승합",448
"제주","계","2020. 02","관용","화물",1033
"제주","계","2020. 02","관용","특수",78
"제주","계","2020. 02","자가용","승용",279980
"제주","계","2020. 02","자가용","승합",11506
"제주","계","2020. 02","자가용","화물",75465
"제주","계","2020. 02","자가용","특수",651
"제주","계","2020. 02","영업용","승용",220127
"제주","계","2020. 02","영업용","승합",7700
"제주","계","2020. 02","영업용","화물",3651
"제주","계","2020. 02","영업용","특수",641
"서울","계","2020. 03","관용","승용",4507
"서울","계","2020. 03","관용","승합",3551
"서울","계","2020. 03","관용","화물",4022
"서울","계","2020. 03","관용","특수",352
"서울","계","2020. 03","자가용","승용",2543567
"서울","계","2020. 03","자가용","승합",91798
"서울","계","2020. 03","자가용","화물",269312
"서울","계","2020. 03","자가용","특수",3052
"서울","계","2020. 03","영업용","승용",125118
"서울","계","2020. 03","영업용","승합",17308
"서울","계","2020. 03","영업용","화물",57762
"서울","계","2020. 03","영업용","특수",4984
"부산","계","2020. 03","관용","승용",1668
"부산","계","2020. 03","관용","승합",1230
"부산","계","2020. 03","관용","화물",1629
"부산","계","2020. 03","관용","특수",132
"부산","계","2020. 03","자가용","승용",1079903
"부산","계","2020. 03","자가용","승합",35847
"부산","계","2020. 03","자가용","화물",152349
"부산","계","2020. 03","자가용","특수",1591
"부산","계","2020. 03","영업용","승용",76096
"부산","계","2020. 03","영업용","승합",6213
"부산","계","2020. 03","영업용","화물",33614
"부산","계","2020. 03","영업용","특수",8837
"대구","계","2020. 03","관용","승용",1060
"대구","계","2020. 03","관용","승합",890
"대구","계","2020. 03","관용","화물",1345
"대구","계","2020. 03","관용","특수",119
"대구","계","2020. 03","자가용","승용",970852
"대구","계","2020. 03","자가용","승합",26544
"대구","계","2020. 03","자가용","화물",140363
"대구","계","2020. 03","자가용","특수",1017
"대구","계","2020. 03","영업용","승용",26546
"대구","계","2020. 03","영업용","승합",4088
"대구","계","2020. 03","영업용","화물",19094
"대구","계","2020. 03","영업용","특수",1975
"광주","계","2020. 03","관용","승용",797
"광주","계","2020. 03","관용","승합",599
"광주","계","2020. 03","관용","화물",718
"광주","계","2020. 03","관용","특수",78
"광주","계","2020. 03","자가용","승용",548531
"광주","계","2020. 03","자가용","승합",17282
"광주","계","2020. 03","자가용","화물",79100
"광주","계","2020. 03","자가용","특수",887
"광주","계","2020. 03","영업용","승용",15110
"광주","계","2020. 03","영업용","승합",2489
"광주","계","2020. 03","영업용","화물",12955
"광주","계","2020. 03","영업용","특수",1817
"대전","계","2020. 03","관용","승용",665
"대전","계","2020. 03","관용","승합",528
"대전","계","2020. 03","관용","화물",630
"대전","계","2020. 03","관용","특수",74
"대전","계","2020. 03","자가용","승용",552347
"대전","계","2020. 03","자가용","승합",18291
"대전","계","2020. 03","자가용","화물",74917
"대전","계","2020. 03","자가용","특수",848
"대전","계","2020. 03","영업용","승용",14163
"대전","계","2020. 03","영업용","승합",2165
"대전","계","2020. 03","영업용","화물",11458
"대전","계","2020. 03","영업용","특수",1630
"울산","계","2020. 03","관용","승용",690
"울산","계","2020. 03","관용","승합",424
"울산","계","2020. 03","관용","화물",649
"울산","계","2020. 03","관용","특수",42
"울산","계","2020. 03","자가용","승용",469752
"울산","계","2020. 03","자가용","승합",12566
"울산","계","2020. 03","자가용","화물",61719
"울산","계","2020. 03","자가용","특수",630
"울산","계","2020. 03","영업용","승용",7928
"울산","계","2020. 03","영업용","승합",1981
"울산","계","2020. 03","영업용","화물",9328
"울산","계","2020. 03","영업용","특수",2148
"경기","계","2020. 03","관용","승용",7171
"경기","계","2020. 03","관용","승합",4116
"경기","계","2020. 03","관용","화물",5665
"경기","계","2020. 03","관용","특수",490
"경기","계","2020. 03","자가용","승용",4696495
"경기","계","2020. 03","자가용","승합",171982
"경기","계","2020. 03","자가용","화물",681304
"경기","계","2020. 03","자가용","특수",6834
"경기","계","2020. 03","영업용","승용",70901
"경기","계","2020. 03","영업용","승합",32583
"경기","계","2020. 03","영업용","화물",113954
"경기","계","2020. 03","영업용","특수",11101
"세종","계","2020. 03","관용","승용",339
"세종","계","2020. 03","관용","승합",166
"세종","계","2020. 03","관용","화물",223
"세종","계","2020. 03","관용","특수",41
"세종","계","2020. 03","자가용","승용",144227
"세종","계","2020. 03","자가용","승합",3864
"세종","계","2020. 03","자가용","화물",14614
"세종","계","2020. 03","자가용","특수",180
"세종","계","2020. 03","영업용","승용",600
"세종","계","2020. 03","영업용","승합",431
"세종","계","2020. 03","영업용","화물",1600
"세종","계","2020. 03","영업용","특수",164
"강원","계","2020. 03","관용","승용",1794
"강원","계","2020. 03","관용","승합",1509
"강원","계","2020. 03","관용","화물",2456
"강원","계","2020. 03","관용","특수",170
"강원","계","2020. 03","자가용","승용",584400
"강원","계","2020. 03","자가용","승합",24296
"강원","계","2020. 03","자가용","화물",145527
"강원","계","2020. 03","자가용","특수",1420
"강원","계","2020. 03","영업용","승용",11932
"강원","계","2020. 03","영업용","승합",3254
"강원","계","2020. 03","영업용","화물",8413
"강원","계","2020. 03","영업용","특수",1656
"충북","계","2020. 03","관용","승용",1345
"충북","계","2020. 03","관용","승합",965
"충북","계","2020. 03","관용","화물",1557
"충북","계","2020. 03","관용","특수",118
"충북","계","2020. 03","자가용","승용",636509
"충북","계","2020. 03","자가용","승합",25240
"충북","계","2020. 03","자가용","화물",142643
"충북","계","2020. 03","자가용","특수",1327
"충북","계","2020. 03","영업용","승용",14718
"충북","계","2020. 03","영업용","승합",3820
"충북","계","2020. 03","영업용","화물",14025
"충북","계","2020. 03","영업용","특수",2712
"충남","계","2020. 03","관용","승용",1908
"충남","계","2020. 03","관용","승합",1170
"충남","계","2020. 03","관용","화물",2349
"충남","계","2020. 03","관용","특수",259
"충남","계","2020. 03","자가용","승용",839507
"충남","계","2020. 03","자가용","승합",35757
"충남","계","2020. 03","자가용","화물",203647
"충남","계","2020. 03","자가용","특수",1750
"충남","계","2020. 03","영업용","승용",13262
"충남","계","2020. 03","영업용","승합",5445
"충남","계","2020. 03","영업용","화물",17440
"충남","계","2020. 03","영업용","특수",2915
"전북","계","2020. 03","관용","승용",1774
"전북","계","2020. 03","관용","승합",1256
"전북","계","2020. 03","관용","화물",2056
"전북","계","2020. 03","관용","특수",155
"전북","계","2020. 03","자가용","승용",688374
"전북","계","2020. 03","자가용","승합",27645
"전북","계","2020. 03","자가용","화물",169853
"전북","계","2020. 03","자가용","특수",1612
"전북","계","2020. 03","영업용","승용",19065
"전북","계","2020. 03","영업용","승합",4233
"전북","계","2020. 03","영업용","화물",15214
"전북","계","2020. 03","영업용","특수",2163
"전남","계","2020. 03","관용","승용",2108
"전남","계","2020. 03","관용","승합",1538
"전남","계","2020. 03","관용","화물",2460
"전남","계","2020. 03","관용","특수",177
"전남","계","2020. 03","자가용","승용",668285
"전남","계","2020. 03","자가용","승합",30366
"전남","계","2020. 03","자가용","화물",220577
"전남","계","2020. 03","자가용","특수",2170
"전남","계","2020. 03","영업용","승용",102886
"전남","계","2020. 03","영업용","승합",7767
"전남","계","2020. 03","영업용","화물",20069
"전남","계","2020. 03","영업용","특수",4753
"경북","계","2020. 03","관용","승용",2578
"경북","계","2020. 03","관용","승합",1710
"경북","계","2020. 03","관용","화물",2959
"경북","계","2020. 03","관용","특수",246
"경북","계","2020. 03","자가용","승용",1059168
"경북","계","2020. 03","자가용","승합",41678
"경북","계","2020. 03","자가용","화물",291124
"경북","계","2020. 03","자가용","특수",2821
"경북","계","2020. 03","영업용","승용",14282
"경북","계","2020. 03","영업용","승합",5399
"경북","계","2020. 03","영업용","화물",23772
"경북","계","2020. 03","영업용","특수",4982
"경남","계","2020. 03","관용","승용",2428
"경남","계","2020. 03","관용","승합",1898
"경남","계","2020. 03","관용","화물",2555
"경남","계","2020. 03","관용","특수",194
"경남","계","2020. 03","자가용","승용",1322756
"경남","계","2020. 03","자가용","승합",45454
"경남","계","2020. 03","자가용","화물",265253
"경남","계","2020. 03","자가용","특수",2406
"경남","계","2020. 03","영업용","승용",51560
"경남","계","2020. 03","영업용","승합",7491
"경남","계","2020. 03","영업용","화물",24666
"경남","계","2020. 03","영업용","특수",5414
"제주","계","2020. 03","관용","승용",851
"제주","계","2020. 03","관용","승합",448
"제주","계","2020. 03","관용","화물",1035
"제주","계","2020. 03","관용","특수",81
"제주","계","2020. 03","자가용","승용",283225
"제주","계","2020. 03","자가용","승합",11478
"제주","계","2020. 03","자가용","화물",75706
"제주","계","2020. 03","자가용","특수",648
"제주","계","2020. 03","영업용","승용",221972
"제주","계","2020. 03","영업용","승합",7615
"제주","계","2020. 03","영업용","화물",3639
"제주","계","2020. 03","영업용","특수",645
"서울","계","2020. 04","관용","승용",4508
"서울","계","2020. 04","관용","승합",3596
"서울","계","2020. 04","관용","화물",4031
"서울","계","2020. 04","관용","특수",352
"서울","계","2020. 04","자가용","승용",2548095
"서울","계","2020. 04","자가용","승합",91452
"서울","계","2020. 04","자가용","화물",269013
"서울","계","2020. 04","자가용","특수",3131
"서울","계","2020. 04","영업용","승용",124640
"서울","계","2020. 04","영업용","승합",16920
"서울","계","2020. 04","영업용","화물",57812
"서울","계","2020. 04","영업용","특수",4973
"부산","계","2020. 04","관용","승용",1674
"부산","계","2020. 04","관용","승합",1236
"부산","계","2020. 04","관용","화물",1635
"부산","계","2020. 04","관용","특수",133
